Country,City,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,AQI Category_encoded,CO AQI Category_encoded,Ozone AQI Category_encoded,NO2 AQI Category_encoded,PM2.5 AQI Category_encoded,Total_Pollution_Score,Country_encoded,City_encoded
Georgia,Zugdidi,50.0,1.0,34.0,0.0,50.0,0,0,0,0,0,23.7,57,23430
Belgium,Zulte,36.0,1.0,29.0,2.0,36.0,0,0,0,0,0,18.549999999999997,15,23434
Indonesia,Weleri,81.0,1.0,58.0,0.0,81.0,1,0,1,0,1,39.199999999999996,70,22494
China,Wenzhou,139.0,1.0,68.5,1.0,117.0,2,0,2,0,2,72.0,33,22518
Germany,Werder,31.0,1.0,29.0,1.0,31.0,0,0,0,0,0,16.799999999999997,58,22521
Germany,Wesseling,30.0,1.0,25.0,2.0,30.0,0,0,0,0,0,15.75,58,22536
United Kingdom of Great Britain and Northern Ireland,Widnes,32.0,1.0,21.0,6.0,32.0,0,0,0,0,0,16.55,164,22658
United States of America,Wilkinsburg,51.0,1.0,39.0,3.0,51.0,1,0,0,0,1,25.999999999999996,166,22679
United States of America,Willmar,46.0,1.0,33.0,3.0,46.0,0,0,0,0,0,22.999999999999996,166,22690
United States of America,Winston Salem,83.0,1.0,5.0,10.0,83.0,1,0,0,0,1,31.5,166,22721
France,Wittenheim,42.0,1.0,26.0,2.0,42.0,0,0,0,0,0,19.8,54,22745
Germany,Wunstorf,29.0,1.0,29.0,1.0,29.0,0,0,0,0,0,16.2,58,22837
China,Xingtai,139.0,1.0,68.5,5.0,145.0,3,0,3,0,3,97.85,33,22891
United States of America,Vieste,66.0,1.0,59.0,0.0,66.0,1,0,1,0,1,34.75,166,21996
France,Villeneuve Saint Georges,31.0,1.0,28.0,2.0,31.0,0,0,0,0,0,16.999999999999996,54,22084
Panama,Vista Alegre,67.0,1.0,19.0,7.0,67.0,1,0,0,0,1,26.999999999999996,118,22151
Netherlands,Vlissingen,33.0,1.0,32.0,1.0,33.0,0,0,0,0,0,18.15,109,22174
Romania,Voluntari,63.0,1.0,41.0,5.0,63.0,1,0,0,0,1,30.799999999999997,129,22210
Serbia,Vranje,55.0,1.0,40.0,0.0,55.0,1,0,0,0,1,26.7,136,22232
Russian Federation,Vytegra,29.0,1.0,29.0,0.0,2.0,0,0,0,0,0,8.049999999999999,130,22272
Germany,Wachtersbach,29.0,1.0,29.0,1.0,28.0,0,0,0,0,0,15.9,58,22280
Japan,Wakuya,43.0,1.0,43.0,0.0,25.0,0,0,0,0,0,18.45,77,22321
Germany,Waldbrol,30.0,1.0,27.0,2.0,30.0,0,0,0,0,0,16.25,58,22328
Germany,Waldkraiburg,49.0,1.0,30.0,3.0,49.0,0,0,0,0,0,23.15,58,22331
United States of America,Walker Mill,52.0,1.0,32.0,5.0,52.0,1,0,0,0,1,25.05,166,22337
Germany,Walldurn,30.0,1.0,30.0,1.0,25.0,0,0,0,0,0,15.25,58,22342
Thailand,Wapi Pathum,58.0,1.0,29.0,0.0,58.0,1,0,0,0,1,24.65,155,22378
Japan,Warabi,65.0,1.0,65.0,3.0,36.0,1,0,1,0,0,27.999999999999996,77,22379
India,Waraseoni,139.0,1.0,39.0,0.0,145.0,3,0,0,0,3,55.85,69,22382
Germany,Waren,36.0,1.0,28.0,2.0,36.0,0,0,0,0,0,18.499999999999996,58,22391
Papua New Guinea,Wau,17.0,1.0,17.0,0.0,7.0,0,0,0,0,0,6.35,119,22438
Poland,Wegorzewo,40.0,1.0,40.0,0.0,12.0,0,0,0,0,0,13.799999999999999,123,22471
Italy,San Giovanni In Fiore,65.0,1.0,48.0,1.0,65.0,1,0,0,0,1,31.95,75,18052
Spain,San Lorenzo De El Escorial,23.0,1.0,23.0,3.0,16.0,0,0,0,0,0,11.5,146,18100
Italy,San Pancrazio Salentino,56.0,1.0,56.0,2.0,50.0,1,0,1,0,0,29.7,75,18135
Honduras,San Pedro Sula,79.0,1.0,9.0,2.0,79.0,1,0,0,0,1,26.65,66,18145
Italy,San Salvo,46.0,1.0,41.0,5.0,46.0,0,0,0,0,0,25.699999999999996,75,18159
India,Sanand,139.0,1.0,35.0,0.0,145.0,3,0,0,0,3,57.550000000000004,69,18172
Romania,Sangeorz Bai,42.0,1.0,37.0,0.0,42.0,0,0,0,0,0,22.05,129,18205
India,Sangrur,139.0,1.0,68.5,0.0,142.0,2,0,2,0,2,76.69999999999999,69,18213
